ne_ccor,codigo_ug,tabela,schema
110794000012026NE000013,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000014,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000015,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000016,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000017,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000018,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000019,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000020,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000021,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000022,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000023,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000024,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000025,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000026,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000027,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000028,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000029,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000030,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000031,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000032,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000033,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000034,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000035,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000036,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000037,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000038,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000039,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000040,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000041,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000042,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000043,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000044,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000045,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000046,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000047,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000048,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000049,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000050,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000051,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000052,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000053,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000054,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000055,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000056,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000057,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000058,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000059,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000060,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000061,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000062,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000063,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000064,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000065,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000066,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000067,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000068,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000069,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000070,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000071,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000072,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000073,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000074,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000075,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000076,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000077,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000078,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000079,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000080,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000081,110794,plano_de_trabalho_2026_executado,main
110794000012026NE000082,110794,plano_de_trabalho_2026_executado,main
