ne_ccor,codigo_ug,tabela,schema,formato_ne
2025NE000690,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000709,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000710,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000712,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000713,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000714,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000715,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000717,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000719,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000720,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000721,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000723,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000724,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000725,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000726,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000727,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000728,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000729,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000732,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000735,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000739,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000740,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000741,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000742,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000743,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000745,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000746,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000747,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000750,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000759,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000766,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000768,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000777,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000779,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000780,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000781,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000786,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000803,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000805,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000806,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000807,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000808,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000809,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000810,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2025NE000811,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000009,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000010,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000012,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000013,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000025,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000034,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000035,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000067,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000068,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000071,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000072,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000073,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000074,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000087,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000088,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000089,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000090,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000092,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000093,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000094,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000095,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000096,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000097,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000098,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000123,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000124,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000127,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000129,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000135,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000136,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000137,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000138,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000139,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000140,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000141,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000142,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000143,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000157,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000158,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000159,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000160,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000162,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000163,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000166,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000168,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000170,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000171,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000172,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000173,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000174,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000175,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000179,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000181,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000182,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000183,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000184,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000185,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000186,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000189,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000191,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000192,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000193,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000194,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000195,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000196,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000197,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000198,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000199,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000200,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000201,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000202,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000203,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000204,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000206,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000207,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000208,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000209,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000210,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000211,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000212,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000213,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000214,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000215,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000216,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000217,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000218,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000219,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000220,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000221,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000222,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000223,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000224,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000225,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000226,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000227,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000228,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000229,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000230,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000231,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000232,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000233,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000234,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000235,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000236,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000237,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000238,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000240,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000241,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000243,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000244,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000248,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000249,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000250,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000252,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000254,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000255,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000256,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000257,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000259,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000260,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000261,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000273,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000277,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000306,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000310,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000319,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000320,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000330,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000331,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000332,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000335,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000343,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000349,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000350,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000369,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000372,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000373,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000374,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000375,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000377,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000378,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000379,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000380,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000381,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000382,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000383,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000384,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000385,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000386,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000387,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
2026NE000388,,dashboard_autonomia__empenhos_x_contratos_x_liquidac,main,NE_TRADICIONAL
